,NAME,index_right,RTE,DIR,KEYITEM,RTE_DESC,DIR_DESC,ROUTE,TYPE
0,WEST BEAVERTON,109,062,1,0621,Murray Blvd,To Sunset Transit Center,62,BUS
10,FIVE OAKS/TRIPLE CREEK,109,062,1,0621,Murray Blvd,To Sunset Transit Center,62,BUS
48,HIGHLAND,109,062,1,0621,Murray Blvd,To Sunset Transit Center,62,BUS
50,CENTRAL BEAVERTON,109,062,1,0621,Murray Blvd,To Sunset Transit Center,62,BUS
54,GREENWAY,109,062,1,0621,Murray Blvd,To Sunset Transit Center,62,BUS
55,CPO 4B BULL MTN,109,062,1,0621,Murray Blvd,To Sunset Transit Center,62,BUS
62,NEIGHBORS SOUTHWEST,109,062,1,0621,Murray Blvd,To Sunset Transit Center,62,BUS
64,SOUTH BEAVERTON,109,062,1,0621,Murray Blvd,To Sunset Transit Center,62,BUS
170,SEXTON MOUNTAIN,109,062,1,0621,Murray Blvd,To Sunset Transit Center,62,BUS
246,CPO 4M METZGER,109,062,1,0621,Murray Blvd,To Sunset Transit Center,62,BUS
408,CPO 1 CEDAR HILLS-CEDAR MILL S,109,062,1,0621,Murray Blvd,To Sunset Transit Center,62,BUS
0,WEST BEAVERTON,108,062,0,0620,Murray Blvd,To Washington Square Transit Center,62,BUS
10,FIVE OAKS/TRIPLE CREEK,108,062,0,0620,Murray Blvd,To Washington Square Transit Center,62,BUS
48,HIGHLAND,108,062,0,0620,Murray Blvd,To Washington Square Transit Center,62,BUS
50,CENTRAL BEAVERTON,108,062,0,0620,Murray Blvd,To Washington Square Transit Center,62,BUS
54,GREENWAY,108,062,0,0620,Murray Blvd,To Washington Square Transit Center,62,BUS
55,CPO 4B BULL MTN,108,062,0,0620,Murray Blvd,To Washington Square Transit Center,62,BUS
62,NEIGHBORS SOUTHWEST,108,062,0,0620,Murray Blvd,To Washington Square Transit Center,62,BUS
64,SOUTH BEAVERTON,108,062,0,0620,Murray Blvd,To Washington Square Transit Center,62,BUS
170,SEXTON MOUNTAIN,108,062,0,0620,Murray Blvd,To Washington Square Transit Center,62,BUS
246,CPO 4M METZGER,108,062,0,0620,Murray Blvd,To Washington Square Transit Center,62,BUS
